x0,x1,u0,u1
0.25,0.0,0.13649999999999998,0.0
0.2525,0.0,0.13668804791512382,0.0
0.255,0.0,0.13686295549977007,0.0
0.2575,0.0,0.13702580869238154,0.0
0.26,0.0,0.13717761834319525,0.0
0.2625,0.0,0.13731932566677463,0.0
0.265,0.0,0.13745180726371434,0.0
0.2675,0.0,0.13757587974871086,0.0
0.27,0.0,0.13769230401869634,0.0
0.2725,0.0,0.1378017891915934,0.0
0.275,0.0,0.137904996243426,0.0
0.2775,0.0,0.13800254136898035,0.0
0.28,0.0,0.13809499908892126,0.0
0.2825,0.0,0.13818290512420497,0.0
0.28500000000000003,0.0,0.1382667590567678,0.0
0.2875,0.0,0.13834702679378647,0.0
0.29,0.0,0.1384241428512854,0.0
0.2925,0.0,0.13849851247148967,0.0
0.295,0.0,0.1385705135870756,0.0
0.2975,0.0,0.13864049864434158,0.0
0.3,0.0,0.13870879629629632,0.0
0.3025,0.0,0.13877571297573157,0.0
0.305,0.0,0.1388415343575013,0.0
0.3075,0.0,0.13890652671845974,0.0
0.31,0.0,0.13897093820281292,0.0
0.3125,0.0,0.13903500000000002,0.0
0.315,0.0,0.13909892744164096,0.0
0.3175,0.0,0.13916292102355857,0.0
0.32,0.0,0.13922716735839843,0.0
0.3225,0.0,0.139291840063931,0.0
0.325,0.0,0.13935710059171597,0.0
0.3275,0.0,0.1394230990004408,0.0
0.33,0.0,0.13948997467790852,0.0
0.3325,0.0,0.13955785701534065,0.0
0.335,0.0,0.13962686603737828,0.0
0.3375,0.0,0.13969711299090587,0.0
0.33999999999999997,0.0,0.13976870089558316,0.0
0.3425,0.0,0.13984172505875309,0.0
0.345,0.0,0.13991627355719324,0.0
0.34750000000000003,0.0,0.13999242768799297,0.0
0.35,0.0,0.14007026239067055,0.0
0.35250000000000004,0.0,0.1401498466424873,0.0
0.355,0.0,0.14023124382877308,0.0
0.3575,0.0,0.1403145120899444,0.0
0.36,0.0,0.14039970464677642,0.0
0.3625,0.0,0.14048687010537536,0.0
0.365,0.0,0.14057605274319632,0.0
0.3675,0.0,0.14066729277735435,0.0
0.37,0.0,0.14076062661638997,0.0
0.3725,0.0,0.1408560870965665,0.0
0.375,0.0,0.1409537037037037,0.0
0.3775,0.0,0.14105350278148018,0.0
0.38,0.0,0.14115550772707391,0.0
0.3825,0.0,0.14125973917495005,0.0
0.385,0.0,0.1413662151695496,0.0
0.3875,0.0,0.14147495132758214,0.0
0.39,0.0,0.14158596099057635,0.0
0.3925,0.0,0.14169925536830086,0.0
0.395,0.0,0.14181484367362418,0.0
0.39749999999999996,0.0,0.14193273324934652,0.0
0.4,0.0,0.1420529296875,0.0
0.40249999999999997,0.0,0.1421754369415814,0.0
0.405,0.0,0.14230025743215144,0.0
0.4075,0.0,0.14242739214620478,0.0
0.41000000000000003,0.0,0.14255684073069164,0.0
0.4125,0.0,0.14268860158054372,0.0
0.41500000000000004,0.0,0.1428226719215372,0.0
0.4175,0.0,0.1429590478883031,0.0
0.42000000000000004,0.0,0.14309772459777562,0.0
0.4225,0.0,0.14323869621835045,0.0
0.42500000000000004,0.0,0.14338195603500914,0.0
0.4275,0.0,0.14352749651064725,0.0
0.43,0.0,0.14367530934383135,0.0
0.4325,0.0,0.14382538552319485,0.0
0.435,0.0,0.1439777153786695,0.0
0.4375,0.0,0.1441322886297376,0.0
0.44,0.0,0.144289094430879,0.0
0.4425,0.0,0.14444812141437516,0.0
0.445,0.0,0.14460935773062364,0.0
0.4475,0.0,0.14477279108610666,0.0
0.45,0.0,0.14493840877914949,0.0
0.4525,0.0,0.14510619773359407,0.0
0.455,0.0,0.14527614453050872,0.0
0.4575,0.0,0.1454482354380453,0.0
0.45999999999999996,0.0,0.14562245643954957,0.0
0.4625,0.0,0.14579879326002407,0.0
0.46499999999999997,0.0,0.14597723139103655,0.0
0.4675,0.0,0.14615775611416248,0.0
0.47,0.0,0.14634035252304403,0.0
0.47250000000000003,0.0,0.14652500554414288,0.0
0.475,0.0,0.14671169995626182,0.0
0.47750000000000004,0.0,0.1469004204089025,0.0
0.48,0.0,0.14709115143952542,0.0
0.48250000000000004,0.0,0.14728387748977367,0.0
0.485,0.0,0.14747858292071747,0.0
0.48750000000000004,0.0,0.14767525202717513,0.0
0.49,0.0,0.1478738690511607,0.0
0.4925,0.0,0.14807441819450798,0.0
0.495,0.0,0.1482768836307159,0.0
0.4975,0.0,0.14848124951605834,0.0
0.5,0.0,0.14868749999999997,0.0
0.5,0.0024875621890547263,0.14868496610820933,-7.681088635053904e-05
0.5,0.004975124378109453,0.14867736539442195,-0.0001536661893984609
0.5,0.007462686567164179,0.14866470074261134,-0.00023061029643071452
0.5,0.009950248756218905,0.14864697695679965,-0.0003076875359454904
0.5,0.01243781094527363,0.148624200757161,-0.0003849421483380671
0.5,0.014925373134328358,0.1485963807745734,-0.00046241825668279267
0.5,0.017412935323383085,0.14856352754362656,-0.000540159837643015
0.5,0.01990049751243781,0.14852565349409538,-0.0006182106925405838
0.5,0.022388059701492536,0.14848277294088963,-0.0006966144186163084
0.5,0.02487562189054726,0.14843490207249466,-0.0007754143805124378
0.5,0.02736318407960199,0.1483820589379175,-0.0008546536820079544
0.5,0.029850746268656716,0.14832426343215616,-0.000934375138036988
0.5,0.03233830845771144,0.14826153728021157,-0.0010146212470203346
0.5,0.03482587064676617,0.14819390401966392,-0.001095434163539515
0.5,0.03731343283582089,0.14812138898183527,-0.0011768556713823005
0.5,0.03980099502487562,0.14804401927156496,-0.0012589271569880991
