x0,x1,n0,n1,trac0,trac1
0.24998764530535214,0.0024853962833824117,-0.9999505812214086,-0.009941585133529647,0.0,0.0
0.2499505824425164,0.004970546916267543,-0.9998023297700656,-0.01988218766507017,0.0,0.0
0.2498888150746956,0.007455206272437607,-0.9995552602987824,-0.029820825089750428,0.0,0.0
0.24980234930682546,0.009939128774231408,-0.9992093972273018,-0.03975651509692563,0.0,0.0
0.2496911936849713,0.012422068916816638,-0.9987647747398852,-0.04968827566726655,0.0,0.0
0.24955535919548325,0.014903781292454973,-0.998221436781933,-0.05961512516981989,0.0,0.0
0.24939485926391042,0.01738402061475757,-0.9975794370556417,-0.06953608245903029,0.0,0.0
0.24920970975367396,0.019862541742928595,-0.9968388390146958,-0.07945016697171438,0.0,0.0
0.24899992896449918,0.022339099705994302,-0.9959997158579967,-0.08935639882397721,0.0,0.0
0.24876553763060685,0.0248134497270154,-0.9950621505224274,-0.0992537989080616,0.0,0.0
0.24850655891866383,0.0272853472472802,-0.9940262356746553,-0.1091413889891208,0.0,0.0
0.24822301842549335,0.029754547950476197,-0.9928920737019734,-0.11901819180190479,0.0,0.0
0.24791494417554513,0.03222080778683769,-0.9916597767021805,-0.12888323114735076,0.0,0.0
0.24758236661812547,0.03468388299726706,-0.9903294664725019,-0.13873553198906824,0.0,0.0
0.2472253186243877,0.03714353013742737,-0.9889012744975508,-0.14857412054970948,0.0,0.0
0.24684383548408334,0.039599506101803746,-0.9873753419363334,-0.15839802440721498,0.0,0.0
0.2464379549020741,0.04205156814773137,-0.9857518196082964,-0.1682062725909255,0.0,0.0
0.24600771699460516,0.044499473919387564,-0.9840308679784207,-0.17799789567755026,0.0,0.0
0.24555316428534035,0.04694298147174564,-0.9822126571413614,-0.18777192588698255,0.0,0.0
0.24507434170115905,0.04938184929448817,-0.9802973668046362,-0.19752739717795267,0.0,0.0
0.24457129656771578,0.051815836335877254,-0.9782851862708631,-0.20726334534350901,0.0,0.0
0.2440440786047627,0.054244702026579515,-0.9761763144190508,-0.21697880810631806,0.0,0.0
0.2434927399212354,0.05666820630344336,-0.9739709596849416,-0.22667282521377344,0.0,0.0
0.24291733501010251,0.059086109633226226,-0.9716693400404101,-0.2363444385329049,0.0,0.0
0.24231792074297984,0.061498173036269504,-0.9692716829719193,-0.24599269214507802,0.0,0.0
0.2416945563645093,0.06390415811011868,-0.9667782254580372,-0.2556166324404747,0.0,0.0
0.24104730348650327,0.0663038270530864,-0.9641892139460131,-0.2652153082123456,0.0,0.0
0.2403762260818551,0.06869694268775632,-0.9615049043274204,-0.2747877707510253,0.0,0.0
0.23968139047821618,0.07108326848442507,-0.9587255619128647,-0.2843330739377003,0.0,0.0
0.2389628653514402,0.07346256858448022,-0.9558514614057608,-0.2938502743379209,0.0,0.0
0.23822072171879544,0.07583460782371212,-0.9528828868751817,-0.3033384312948485,0.0,0.0
0.23745503293194567,0.07819915175555679,-0.9498201317277827,-0.31279660702222717,0.0,0.0
0.2366658746697001,0.08055596667426816,-0.9466634986788004,-0.32222386669707265,0.0,0.0
0.23585332493053363,0.08290481963801695,-0.9434132997221345,-0.3316192785520678,0.0,0.0
0.23501746402487758,0.08524547849191402,-0.9400698560995103,-0.3409819139676561,0.0,0.0
0.23415837456718197,0.08757771189095608,-0.9366334982687279,-0.3503108475638243,0.0,0.0
0.23327614146775022,0.08990128932289115,-0.9331045658710009,-0.3596051572915646,0.0,0.0
