x0,x1,u0,u1,e00,e11,e01,source0,source1
0.25510204081632654,0.0,0.13686983142857145,0.0,0.06728598239999994,-0.16304918239999996,0.0,0.0,0.0
0.2602040816326531,0.0,0.1371895527145883,0.0,0.05831437646863691,-0.146320527948837,0.0,0.0,0.0
0.2653061224489796,0.0,0.13746743580938292,0.0,0.05084899507851626,-0.13154130277082382,0.0,0.0,0.0
0.27040816326530615,0.0,0.13771063504964307,0.0,0.04468699512742014,-0.11847553197327255,0.0,0.0,0.0
0.2755102040816326,0.0,0.13792534393348865,0.0,0.03965379952807552,-0.1069185457557848,0.0,0.0,0.0
0.28061224489795916,0.0,0.13811692819577115,0.0,0.03559885690868114,-0.09669241062768935,0.0,0.0,0.0
0.2857142857142857,0.0,0.1382900390625,0.0,0.032392089843749916,-0.08764208984375003,0.0,0.0,0.0
0.29081632653061223,0.0,0.13844870987872884,0.0,0.02992091095861016,-0.07963220674192814,0.0,0.0,0.0
0.29591836734693877,0.0,0.13859643874873334,0.0,0.028087708951604784,-0.07254430823816839,0.0,0.0,0.0
0.3010204081632653,0.0,0.13873625937552383,0.0,0.026807724718278192,-0.06627454459762318,0.0,0.0,0.0
0.30612244897959184,0.0,0.13887080191798942,0.0,0.026007252314814933,-0.060731696759259254,0.0,0.0,0.0
0.3112244897959184,0.0,0.13900234538196085,0.0,0.025622111217368515,-0.05583549471642782,0.0,0.0,0.0
0.3163265306122449,0.0,0.1391328628133137,0.0,0.025596345805888432,-0.051515180353235074,0.0,0.0,0.0
0.3214285714285714,0.0,0.13926406035665295,0.0,0.025881115683584865,-0.04770827617741198,0.0,0.0,0.0
0.32653061224489793,0.0,0.13939741107395714,0.0,0.0264337466955184,-0.0443595279455185,0.0,0.0,0.0
0.33163265306122447,0.0,0.1395341842772612,0.0,0.027216917614929448,-0.041419994538006356,0.0,0.0,0.0
0.336734693877551,0.0,0.1396754710127644,0.0,0.02819796164752969,-0.03884626284128538,0.0,0.0,0.0
0.34183673469387754,0.0,0.1398222062364244,0.0,0.02934826533967999,-0.036599769015331726,0.0,0.0,0.0
0.3469387755102041,0.0,0.13997518813970222,0.0,0.03064275030755742,-0.034646210515169834,0.0,0.0,0.0
0.3520408163265306,0.0,0.14013509501587912,0.0,0.032059425544161524,-0.03295503571009302,0.0,0.0,0.0
0.35714285714285715,0.0,0.1403025,0.0,0.03357899999999997,-0.031499000000000006,0.0,0.0,0.0
0.3622448979591837,0.0,0.14047788396716343,0.0,0.03518454674446758,-0.030253779039647162,0.0,0.0,0.0
0.36734693877551017,0.0,0.14066164683305166,0.0,0.03686121135723874,-0.029197631110325223,0.0,0.0,0.0
0.37244897959183676,0.0,0.14085411746603801,0.0,0.03859595832009449,-0.028311101874232282,0.0,0.0,0.0
0.37755102040816324,0.0,0.14105556239088926,0.0,0.04037735011826632,-0.027576765750114328,0.0,0.0,0.0
0.3826530612244898,0.0,0.14126619343915345,0.0,0.04219535454814821,-0.026978998992592616,0.0,0.0,0.0
0.3877551020408163,0.0,0.14148617448008874,0.0,0.0440411763908925,-0.026503780269008827,0.0,0.0,0.0
0.39285714285714285,0.0,0.14171562734785875,0.0,0.04590711017007032,-0.026138515128748034,0.0,0.0,0.0
0.3979591836734694,0.0,0.141954637065214,0.0,0.04778641118360055,-0.02587188126907062,0.0,0.0,0.0
0.40306122448979587,0.0,0.14220325645059084,0.0,0.04967318239980034,-0.025693691933528953,0.0,0.0,0.0
0.40816326530612246,0.0,0.1424615101841518,0.0,0.05156227514648437,-0.025594775146484373,0.0,0.0,0.0
0.41326530612244894,0.0,0.14272939839847834,0.0,0.053449201810284286,-0.025566866800377203,0.0,0.0,0.0
0.41836734693877553,0.0,0.14300689985117537,0.0,0.05533005900888288,-0.025602515879793092,0.0,0.0,0.0
0.423469387755102,0.0,0.14329397472935101,0.0,0.057201459908368835,-0.025695000335136192,0.0,0.0,0.0
0.42857142857142855,0.0,0.14359056712962964,0.0,0.059060474537037055,-0.0258382523148148,0.0,0.0,0.0
0.4336734693877551,0.0,0.1438966072518973,0.0,0.06090457710036995,-0.026026791633241918,0.0,0.0,0.0
0.4387755102040816,0.0,0.14421201334024497,0.0,0.062731599433544,-0.026255666496821553,0.0,0.0,0.0
0.44387755102040816,0.0,0.14453669340046393,0.0,0.06453968984091232,-0.026520400634940704,0.0,0.0,0.0
0.44897959183673464,0.0,0.1448705467198736,0.0,0.06632727666927418,-0.02681694609076181,0.0,0.0,0.0
0.45408163265306123,0.0,0.14521346521214812,0.0,0.06809303604568412,-0.027141641019803542,0.0,0.0,0.0
0.4591836734693877,0.0,0.14556533460709387,0.0,0.06983586328303609,-0.027491171925011434,0.0,0.0,0.0
0.4642857142857143,0.0,0.14592603550295857,0.0,0.07155484751934452,-0.027862539827036858,0.0,0.0,0.0
0.4693877551020408,0.0,0.14629544429678049,0.0,0.07324924921093581,-0.028253029929272328,0.0,0.0,0.0
0.4744897959183673,0.0,0.14667343400647082,0.0,0.0749184801468551,-0.028660184390120143,0.0,0.0,0.0
0.47959183673469385,0.0,0.14705987499673204,0.0,0.07656208569269185,-0.029081777861093765,0.0,0.0,0.0
0.4846938775510204,0.0,0.1474546356195197,0.0,0.07817972900760431,-0.029515795489598762,0.0,0.0,0.0
0.4897959183673469,0.0,0.14785758277852698,0.0,0.07977117700929998,-0.029960413120411054,0.0,0.0,0.0
0.49489795918367346,0.0,0.14826858242609503,0.0,0.08133628788874944,-0.030413979460648728,0.0,0.0,0.0
