x,u,source
-0.9801980198019802,0.5258097654695091,-7.472929500595627
-0.9603960396039604,0.46090536592480563,-6.550493224344714
-0.9405940594059405,0.3934335899667521,-5.591568803144029
-0.9207920792079208,0.3237702749341356,-4.601497723821873
-0.900990099009901,0.25230346567328,-3.585794969115507
-0.8811881188118812,0.1794312530158377,-2.5501182976196493
-0.8613861386138614,0.10555955629752638,-1.5002367284319928
-0.8415841584158416,0.03109986226983651,-0.44199840604557783
-0.8217821782178218,-0.043533067000383875,0.6187019755102655
-0.801980198019802,-0.11792350447580188,1.675956007823407
-0.7821782178217822,-0.19165707386862937,2.723874479645375
-0.7623762376237624,-0.2643230578365946,3.7566201815041693
-0.7425742574257426,-0.335516685797525,4.768440420652082
-0.7227722772277227,-0.40484138861875046,5.753699065230835
-0.7029702970297029,-0.47191100762206023,6.706907939158847
-0.6831683168316831,-0.5363519455994111,7.622757392861934
-0.6633663366336633,-0.5978052478576097,8.496145879559682
-0.6435643564356436,-0.6559286016999402,9.32220837235889
-0.6237623762376238,-0.7103982432070564,10.096343463862816
-0.6039603960396039,-0.7609107606958069,10.814238997343404
-0.5841584158415842,-0.8071847848102076,11.471896086703476
-0.5643564356435644,-0.8489625558302704,12.065651391430809
-0.5445544554455446,-0.8860113594683148,12.592197522466048
-0.5247524752475248,-0.9181248231549689,13.048601465317924
-0.504950495049505,-0.9451240655941674,13.432320917803672
-0.48514851485148514,-0.966858693183793,13.741218451408708
-0.4653465346534653,-0.9832076377516089,13.973573417382648
-0.4455445544554455,-0.9940798309400526,14.128091531251355
-0.4257425742574258,-0.9994147114833697,14.203912082356391
-0.40594059405940597,-0.999182562551409,14.200612728262746
-0.38613861386138615,-0.9933846772809756,14.11821184732855
-0.36633663366336633,-0.982053351572684,13.957168436332296
-0.3465346534653465,-0.9652517041934356,13.71837955372781
-0.3267326732673267,-0.9430733251866016,13.403175322768787
-0.30693069306930687,-0.9156417545483682,13.01331152233693
-0.28712871287128716,-0.8831097940741676,12.55095980674491
-0.26732673267326734,-0.845658656208411,12.018695608992736
-0.24752475247524752,-0.8034969546386757,11.419483794859827
-0.2277227722772277,-0.7568595422570288,10.756662147743684
-0.20792079207920788,-0.7060062029613823,10.033922776239425
-0.18811881188118806,-0.6512202045839203,9.255291548025271
-0.16831683168316836,-0.5928067210072121,8.425105664613309
-0.14851485148514854,-0.5310911322572751,7.547989501880543
-0.12871287128712872,-0.4664172120425686,6.628828850955595
-0.1089108910891089,-0.3991452128348442,5.672743702946679
-0.08910891089108908,-0.32964985915851336,4.685059729107865
-0.06930693069306926,-0.25831826026648746,3.671278615307334
-0.04950495049504955,-0.18554775382949343,2.637047416043251
-0.02970297029702973,-0.11174369265013655,1.5881270987142204
-0.00990099009900991,-0.037317186730361204,0.5303604533619547
0.00990099009900991,0.037317186730361204,-0.5303604533619547
0.02970297029702973,0.11174369265013655,-1.5881270987142204
0.04950495049504955,0.18554775382949343,-2.637047416043251
0.06930693069306937,0.25831826026648785,-3.6712786153073393
0.08910891089108919,0.32964985915851375,-4.68505972910787
0.10891089108910901,0.3991452128348446,-5.6727437029466845
0.12871287128712883,0.4664172120425689,-6.6288288509556
0.14851485148514842,0.5310911322572748,-7.547989501880538
0.16831683168316824,0.5928067210072118,-8.425105664613305
0.18811881188118806,0.6512202045839203,-9.255291548025271
0.20792079207920788,0.7060062029613823,-10.033922776239425
0.2277227722772277,0.7568595422570288,-10.756662147743684
0.24752475247524752,0.8034969546386757,-11.419483794859827
0.26732673267326734,0.845658656208411,-12.018695608992736
0.28712871287128716,0.8831097940741676,-12.55095980674491
0.306930693069307,0.9156417545483683,-13.01331152233693
0.3267326732673268,0.9430733251866017,-13.403175322768789
0.3465346534653466,0.9652517041934358,-13.718379553727813
0.36633663366336644,0.982053351572684,-13.957168436332296
0.38613861386138626,0.9933846772809757,-14.118211847328551
0.40594059405940586,0.999182562551409,-14.200612728262746
0.4257425742574257,0.9994147114833697,-14.203912082356391
0.4455445544554455,0.9940798309400526,-14.128091531251355
0.4653465346534653,0.9832076377516089,-13.973573417382648
0.48514851485148514,0.966858693183793,-13.741218451408708
0.504950495049505,0.9451240655941674,-13.432320917803672
0.5247524752475248,0.9181248231549689,-13.048601465317924
0.5445544554455446,0.8860113594683148,-12.592197522466048
0.5643564356435644,0.8489625558302704,-12.065651391430809
0.5841584158415842,0.8071847848102076,-11.471896086703476
0.603960396039604,0.7609107606958065,-10.8142389973434
0.6237623762376239,0.710398243207056,-10.096343463862812
0.6435643564356437,0.6559286016999397,-9.322208372358883
0.6633663366336633,0.5978052478576097,-8.496145879559682
0.6831683168316831,0.5363519455994111,-7.622757392861934
0.7029702970297029,0.47191100762206023,-6.706907939158847
0.7227722772277227,0.40484138861875046,-5.753699065230835
0.7425742574257426,0.335516685797525,-4.768440420652082
0.7623762376237624,0.2643230578365946,-3.7566201815041693
0.7821782178217822,0.19165707386862937,-2.723874479645375
0.801980198019802,0.11792350447580188,-1.675956007823407
0.8217821782178218,0.043533067000383875,-0.6187019755102655
0.8415841584158417,-0.031099862269836954,0.44199840604558416
0.8613861386138615,-0.10555955629752682,1.5002367284319993
0.8811881188118813,-0.17943125301583815,2.550118297619656
0.9009900990099009,-0.25230346567328,3.585794969115507
0.9207920792079207,-0.3237702749341352,4.601497723821867
0.9405940594059405,-0.3934335899667521,5.591568803144029
0.9603960396039604,-0.46090536592480563,6.550493224344714
0.9801980198019802,-0.5258097654695091,7.472929500595627
