x,u,source
-9.666666666666666,-8.948056347275719,-0.7186103193909477
-9.333333333333334,-9.607285039997581,0.2739517066642479
-9.0,-10.23635545572527,1.2363554557252698
-8.666666666666666,-10.72932031200585,2.062653645339185
-8.333333333333334,-10.995215657617418,2.6618823242840834
-8.0,-10.968074739870145,2.9680747398701453
-7.666666666666667,-10.614190027625787,2.94752336095912
-7.333333333333334,-9.935823942189753,2.602490608856419
-7.0,-8.970959796156368,1.9709597961563672
-6.666666666666667,-7.789120358380327,1.1224536917136598
-6.333333333333334,-6.483714362979855,0.15038102964652086
-6.0,-5.161753505403222,-0.8382464945967776
-5.666666666666667,-3.9320719414337404,-1.7345947252329266
-5.333333333333334,-2.8933451586305954,-2.4399881747027385
-5.0,-2.1232271760105847,-2.8767728239894153
-4.666666666666667,-1.669801915372882,-2.996864751293785
-4.333333333333334,-1.5462898295210472,-2.7870435038122867
-4.0,-1.7295925140762156,-2.2704074859237844
-3.666666666666667,-2.1628355209016314,-1.5038311457650353
-3.333333333333334,-2.7616294447068763,-0.5717038886264575
-3.0,-3.4233600241796016,0.4233600241796016
-2.666666666666667,-4.038484546574102,1.3718178799074348
-2.333333333333334,-4.502590978548307,2.169257645214973
-2.0,-4.727892280477045,2.727892280477045
-1.6666666666666679,-4.652890539921962,2.9862238732552946
-1.333333333333334,-4.249147037423272,2.915813704089939
-1.0,-3.5244129544236893,2.5244129544236893
-0.6666666666666679,-2.5217760758758816,1.855109409209214
-0.3333333333333339,-1.3149174237217924,0.9815840903884585
0.0,0.0,-0.0
0.33333333333333215,1.3149174237217855,-0.9815840903884533
0.6666666666666661,2.521776075875876,-1.8551094092092097
1.0,3.5244129544236893,-2.5244129544236893
1.3333333333333321,4.24914703742327,-2.9158137040899375
1.666666666666666,4.652890539921961,-2.986223873255295
2.0,4.727892280477045,-2.727892280477045
2.333333333333332,4.502590978548309,-2.1692576452149765
2.666666666666666,4.038484546574104,-1.3718178799074372
3.0,3.4233600241796016,-0.4233600241796016
3.333333333333332,2.76162944470688,0.5717038886264523
3.666666666666666,2.1628355209016332,1.5038311457650329
4.0,1.7295925140762156,2.2704074859237844
4.333333333333332,1.5462898295210472,2.787043503812285
4.666666666666666,1.6698019153728811,2.996864751293785
5.0,2.1232271760105847,2.8767728239894153
5.333333333333332,2.8933451586305905,2.4399881747027417
5.666666666666666,3.932071941433737,1.734594725232929
6.0,5.161753505403222,0.8382464945967776
6.333333333333332,6.483714362979848,-0.15038102964651553
6.666666666666664,7.789120358380317,-1.1224536917136525
7.0,8.970959796156368,-1.9709597961563672
7.333333333333332,9.93582394218975,-2.6024906088564164
7.666666666666664,10.614190027625781,-2.947523360959118
8.0,10.968074739870145,-2.9680747398701453
8.333333333333332,10.995215657617418,-2.661882324284086
8.666666666666664,10.729320312005854,-2.062653645339189
9.0,10.23635545572527,-1.2363554557252698
9.333333333333332,9.607285039997585,-0.27395170666425317
9.666666666666664,8.948056347275722,0.7186103193909426
