x0,x1,u
0.0,0.0,0.0
0.02564102564102564,0.0,0.0
0.05128205128205128,0.0,0.0
0.07692307692307693,0.0,0.0
0.10256410256410256,0.0,0.0
0.1282051282051282,0.0,0.0
0.15384615384615385,0.0,0.0
0.1794871794871795,0.0,0.0
0.20512820512820512,0.0,0.0
0.23076923076923075,0.0,0.0
0.2564102564102564,0.0,0.0
0.28205128205128205,0.0,0.0
0.3076923076923077,0.0,0.0
0.3333333333333333,0.0,0.0
0.358974358974359,0.0,0.0
0.3846153846153846,0.0,0.0
0.41025641025641024,0.0,0.0
0.4358974358974359,0.0,0.0
0.4615384615384615,0.0,0.0
0.48717948717948717,0.0,0.0
0.5128205128205128,0.0,0.0
0.5384615384615384,0.0,0.0
0.5641025641025641,0.0,0.0
0.5897435897435898,0.0,0.0
0.6153846153846154,0.0,0.0
0.641025641025641,0.0,0.0
0.6666666666666666,0.0,0.0
0.6923076923076923,0.0,0.0
0.717948717948718,0.0,0.0
0.7435897435897436,0.0,0.0
0.7692307692307692,0.0,0.0
0.7948717948717948,0.0,0.0
0.8205128205128205,0.0,0.0
0.8461538461538461,0.0,0.0
0.8717948717948718,0.0,0.0
0.8974358974358974,0.0,0.0
0.923076923076923,0.0,0.0
0.9487179487179487,0.0,0.0
0.9743589743589743,0.0,0.0
1.0,0.0,0.0
0.0,1.0,-4.898587196589413e-16
0.02564102564102564,1.0,-3.5492354183504667e-16
0.05128205128205128,1.0,-2.5715724859698285e-16
0.07692307692307693,1.0,-1.863213980229713e-16
0.10256410256410256,1.0,-1.349978021255039e-16
0.1282051282051282,1.0,-9.781166721639693e-17
0.15384615384615385,1.0,-7.086872595715944e-17
0.1794871794871795,1.0,-5.134741551516082e-17
0.20512820512820512,1.0,-3.720339323837135e-17
0.23076923076923075,1.0,-2.6955445655102715e-17
0.2564102564102564,1.0,-1.9530370410293356e-17
0.28205128205128205,1.0,-1.4150586610355512e-17
0.3076923076923077,1.0,-1.0252703722999435e-17
0.3333333333333333,1.0,-7.428521270961334e-18
0.358974358974359,1.0,-5.382280592906974e-18
0.3846153846153846,1.0,-3.899691920385949e-18
0.41025641025641024,1.0,-2.82549317364924e-18
0.4358974358974359,1.0,-2.0471903517825436e-18
0.4615384615384615,1.0,-1.483276751654192e-18
0.48717948717948717,1.0,-1.0746972894250476e-18
0.5128205128205128,1.0,-7.786640373143352e-19
0.5384615384615384,1.0,-5.64175316131144e-19
0.5641025641025641,1.0,-4.0876908663907617e-19
0.5897435897435898,1.0,-2.9617064308588705e-19
0.6153846153846154,1.0,-2.1458826680638382e-19
0.641025641025641,1.0,-1.5547835454310799e-19
0.6666666666666666,1.0,-1.1265070122982701e-19
0.6923076923076923,1.0,-8.162023919576063e-20
0.717948717948718,1.0,-5.913734556149651e-20
0.7435897435897436,1.0,-4.284752990826198e-20
0.7692307692307692,1.0,-3.104486347514969e-20
0.7948717948717948,1.0,-2.249332809275528e-20
0.8205128205128205,1.0,-1.629737586358944e-20
0.8461538461538461,1.0,-1.1808144128064995e-20
0.8717948717948718,1.0,-8.555504206089184e-21
0.8974358974358974,1.0,-6.198827811259501e-21
0.923076923076923,1.0,-4.491315217435781e-21
0.9487179487179487,1.0,-3.2541494935107114e-21
0.9743589743589743,1.0,-2.3577701438114293e-21
1.0,1.0,-1.708305061624935e-21
0.0,0.025,0.3090169943749474
0.0,0.05,0.5877852522924731
0.0,0.07500000000000001,0.8090169943749475
0.0,0.1,0.9510565162951535
0.0,0.125,1.0
0.0,0.15000000000000002,0.9510565162951535
0.0,0.17500000000000002,0.8090169943749475
0.0,0.2,0.5877852522924732
0.0,0.225,0.3090169943749475
0.0,0.25,1.2246467991473532e-16
0.0,0.275,-0.30901699437494773
0.0,0.30000000000000004,-0.5877852522924734
0.0,0.325,-0.8090169943749473
0.0,0.35000000000000003,-0.9510565162951535
0.0,0.375,-1.0
0.0,0.4,-0.9510565162951536
0.0,0.42500000000000004,-0.809016994374947
0.0,0.45,-0.5877852522924732
0.0,0.47500000000000003,-0.3090169943749476
0.0,0.5,-2.4492935982947064e-16
0.0,0.525,0.3090169943749472
0.0,0.55,0.5877852522924737
0.0,0.5750000000000001,0.8090169943749478
0.0,0.6000000000000001,0.9510565162951538
0.0,0.625,1.0
0.0,0.65,0.9510565162951536
0.0,0.675,0.8090169943749477
0.0,0.7000000000000001,0.5877852522924734
0.0,0.7250000000000001,0.3090169943749461
0.0,0.75,3.6739403974420594e-16
0.0,0.775,-0.30901699437494706
