x0,x1,u,source
0.025,0.025,0.22570684427122578,0.0
0.05,0.025,0.1648568864438009,0.0
0.07500000000000001,0.025,0.12041191349645312,0.0
0.1,0.025,0.0879491856521261,0.0
0.125,0.025,0.06423832187584985,0.0
0.15000000000000002,0.025,0.046919843166569795,0.0
0.17500000000000002,0.025,0.034270379712443,0.0
0.2,0.025,0.025031177565227273,0.0
0.225,0.025,0.018282839453758484,0.0
0.25,0.025,0.01335383513703555,0.0
0.275,0.025,0.009753677119910719,0.0
0.30000000000000004,0.025,0.007124112016002392,0.0
0.325,0.025,0.0052034705878201415,0.0
0.35000000000000003,0.025,0.003800628920136309,0.0
0.375,0.025,0.002775989590944868,0.0
0.4,0.025,0.002027590267549161,0.0
0.42500000000000004,0.025,0.001480957387761949,0.0
0.45,0.025,0.0010816952613497011,0.0
0.47500000000000003,0.025,0.0007900731297843897,0.0
0.5,0.025,0.0005770715401197441,0.0
0.525,0.025,0.00042149460583104756,0.0
0.55,0.025,0.00030786079436148503,0.0
0.5750000000000001,0.025,0.00022486235267000235,0.0
0.6000000000000001,0.025,0.0001642400675056993,0.0
0.625,0.025,0.00011996138728417412,0.0
0.65,0.025,8.762012009428955e-05,0.0
0.675,0.025,6.39979715068746e-05,0.0
0.7000000000000001,0.025,4.674429061027576e-05,0.0
0.7250000000000001,0.025,3.4142155652905285e-05,0.0
0.75,0.025,2.4937522367083794e-05,0.0
0.775,0.025,1.8214433445003795e-05,0.0
0.8,0.025,1.3303871204157223e-05,0.0
0.8250000000000001,0.025,9.717183328881022e-06,0.0
0.8500000000000001,0.025,7.097456852827722e-06,0.0
0.875,0.025,5.184001584907029e-06,0.0
0.9,0.025,3.7864087080165376e-06,0.0
0.925,0.025,2.7656031097453047e-06,0.0
0.9500000000000001,0.025,2.020003953730473e-06,0.0
0.9750000000000001,0.025,1.4754163237336389e-06,0.0
0.025,0.05,0.42931993003312946,0.0
0.05,0.05,0.31357643221701403,0.0
0.07500000000000001,0.05,0.22903706994074022,0.0
0.1,0.05,0.16728929223461353,0.0
0.125,0.05,0.12218854923178503,0.0
0.15000000000000002,0.05,0.08924684517422568,0.0
0.17500000000000002,0.05,0.0651861358828563,0.0
0.2,0.05,0.04761212906790092,0.0
0.225,0.05,0.03477602719775027,0.0
0.25,0.05,0.02540050384921769,0.0
0.275,0.05,0.018552596365460073,0.0
0.30000000000000004,0.05,0.01355086631127136,0.0
0.325,0.05,0.00989758921979304,0.0
0.35000000000000003,0.05,0.0072292258010309,0.0
0.375,0.05,0.00528024597927127,0.0
0.4,0.05,0.003856705872658527,0.0
0.42500000000000004,0.05,0.0028169483479729006,0.0
0.45,0.05,0.002057506653904445,0.0
0.47500000000000003,0.05,0.001502808396862301,0.0
0.5,0.05,0.0010976552971987258,0.0
0.525,0.05,0.0008017303829177502,0.0
0.55,0.05,0.0005855860291785852,0.0
0.5750000000000001,0.05,0.00042771361155252935,0.0
0.6000000000000001,0.05,0.00031240317287610254,0.0
0.625,0.05,0.00022818011816084076,0.0
0.65,0.05,0.00016666337234847603,0.0
0.675,0.05,0.00012173137566256932,0.0
0.7000000000000001,0.05,8.891292436899425e-05,0.0
0.7250000000000001,0.05,6.494223922811798e-05,0.0
0.75,0.05,4.7433986294942376e-05,0.0
0.775,0.05,3.4645911236990484e-05,0.0
0.8,0.05,2.530546680133036e-05,0.0
0.8250000000000001,0.05,1.848318104993386e-05,0.0
